player,seasons,batting_runs,batting_average,strike_rate,runs_per_match,bowling_wickets,economy,wickets_per_match,cluster_id,cluster_name
A Ashish Reddy,4,280.0,18.666666666666668,142.85714285714286,12.173913043478262,19.0,8.88888888888889,0.95,2,Finishers / All-Rounders
A Badoni,3,634.0,24.384615384615383,125.54455445544555,18.114285714285714,2.0,8.879999999999999,0.4,2,Finishers / All-Rounders
A Chandila,2,4.0,4.0,57.142857142857146,2.0,11.0,6.282051282051282,0.9166666666666666,0,Finishers / All-Rounders
A Chopra,2,53.0,10.6,70.66666666666667,8.833333333333334,0.0,0.0,0.0,2,Finishers / All-Rounders
A Choudhary,1,25.0,12.5,125.0,8.333333333333334,5.0,8.0,1.0,0,Finishers / All-Rounders
A Dananjaya,1,4.0,4.0,80.0,4.0,0.0,11.28,0.0,0,Finishers / All-Rounders
A Flintoff,1,62.0,31.0,108.7719298245614,20.666666666666668,2.0,9.636363636363637,0.6666666666666666,2,Finishers / All-Rounders
A Kamboj,1,2.0,2.0,100.0,2.0,2.0,10.147058823529411,0.6666666666666666,0,Finishers / All-Rounders
A Kumble,3,35.0,17.5,71.42857142857143,2.3333333333333335,49.0,6.646998982706002,1.1666666666666667,0,Finishers / All-Rounders
A Manohar,3,231.0,16.5,127.62430939226519,15.4,0.0,0.0,0.0,2,Finishers / All-Rounders
A Mishra,15,381.0,12.290322580645162,86.5909090909091,6.927272727272728,183.0,7.304878048780488,1.1296296296296295,3,Finishers / All-Rounders
A Mithun,5,34.0,6.8,130.76923076923077,5.666666666666667,8.0,9.173076923076923,0.5,0,Finishers / All-Rounders
A Mukund,2,19.0,9.5,82.6086956521739,9.5,0.0,0.0,0.0,2,Finishers / All-Rounders
A Nehra,9,41.0,5.125,65.07936507936508,2.411764705882353,121.0,7.711246200607903,1.375,3,Finishers / All-Rounders
A Nel,1,0.0,0.0,0.0,0.0,1.0,10.333333333333334,1.0,0,Finishers / All-Rounders
A Nortje,4,49.0,9.8,96.07843137254902,3.769230769230769,62.0,8.82771194165907,1.3478260869565217,3,Finishers / All-Rounders
A Raghuvanshi,1,163.0,23.285714285714285,149.54128440366972,23.285714285714285,0.0,0.0,0.0,2,Finishers / All-Rounders
A Singh,3,2.0,0.5,20.0,0.4,31.0,7.888888888888889,1.3478260869565217,0,Finishers / All-Rounders
A Symonds,4,974.0,37.46153846153846,124.71190781049935,27.055555555555557,23.0,7.711111111111111,0.7666666666666667,2,Finishers / All-Rounders
A Tomar,1,4.0,4.0,50.0,4.0,0.0,0.0,0.0,0,Finishers / All-Rounders
A Uniyal,1,4.0,4.0,57.142857142857146,2.0,3.0,10.578947368421053,1.5,0,Finishers / All-Rounders
A Zampa,4,15.0,3.0,60.0,3.0,30.0,7.934117647058824,1.5,0,Finishers / All-Rounders
AA Bilakhia,2,69.0,13.8,78.4090909090909,9.857142857142858,0.0,0.0,0.0,2,Finishers / All-Rounders
AA Chavan,3,12.0,12.0,109.0909090909091,4.0,8.0,7.976470588235294,0.6153846153846154,0,Finishers / All-Rounders
AA Jhunjhunwala,3,217.0,15.5,99.54128440366972,14.466666666666667,1.0,8.863636363636363,0.1,2,Finishers / All-Rounders
AA Kazi,1,0.0,0.0,0.0,0.0,1.0,9.692307692307693,1.0,0,Finishers / All-Rounders
AA Kulkarni,1,9.0,4.5,112.5,4.5,0.0,0.0,0.0,2,Finishers / All-Rounders
AA Noffke,1,9.0,9.0,75.0,9.0,1.0,9.84,1.0,0,Finishers / All-Rounders
AB Agarkar,6,179.0,22.375,111.875,9.944444444444445,33.0,8.590243902439026,0.7857142857142857,3,Finishers / All-Rounders
AB Barath,1,42.0,21.0,97.67441860465117,14.0,0.0,0.0,0.0,2,Finishers / All-Rounders
AB Dinda,10,26.0,2.888888888888889,52.0,1.625,82.0,7.940843297671492,1.0933333333333333,3,Finishers / All-Rounders
AB McDonald,5,123.0,24.6,119.41747572815534,13.666666666666666,14.0,8.393617021276595,1.4,2,Finishers / All-Rounders
AB de Villiers,13,5181.0,41.448,148.58044164037855,30.476470588235294,0.0,0.0,0.0,1,Power Hitters
AC Blizzard,2,120.0,17.142857142857142,131.86813186813185,17.142857142857142,0.0,0.0,0.0,2,Finishers / All-Rounders
AC Gilchrist,6,2069.0,27.223684210526315,133.05466237942122,25.8625,1.0,0.0,1.0,1,Power Hitters
AC Thomas,2,20.0,10.0,105.26315789473684,5.0,16.0,7.63302752293578,1.0666666666666667,0,Finishers / All-Rounders
AC Voges,1,181.0,30.166666666666668,126.57342657342657,25.857142857142858,1.0,8.142857142857142,0.14285714285714285,2,Finishers / All-Rounders
AD Hales,1,148.0,24.666666666666668,124.36974789915966,24.666666666666668,0.0,0.0,0.0,2,Finishers / All-Rounders
AD Mascarenhas,5,79.0,7.9,100.0,7.181818181818182,19.0,7.064516129032258,1.4615384615384615,0,Finishers / All-Rounders
AD Mathews,6,724.0,23.35483870967742,120.86811352253756,17.658536585365855,28.0,8.141263940520446,0.6363636363636364,2,Finishers / All-Rounders
AD Nath,4,90.0,9.0,90.9090909090909,9.0,0.0,0.0,0.0,2,Finishers / All-Rounders
AD Russell,11,2488.0,29.61904761904762,164.22442244224422,23.923076923076923,125.0,9.116883116883116,1.1160714285714286,3,Finishers / All-Rounders
AF Milne,4,23.0,4.6,74.19354838709677,3.8333333333333335,9.0,9.373271889400922,0.9,0,Finishers / All-Rounders
AG Murtaza,4,10.0,10.0,71.42857142857143,3.3333333333333335,12.0,7.182156133828996,1.0,0,Finishers / All-Rounders
AG Paunikar,2,49.0,9.8,80.32786885245902,9.8,0.0,0.0,0.0,2,Finishers / All-Rounders
AJ Finch,11,2092.0,24.904761904761905,123.34905660377359,23.244444444444444,1.0,9.136363636363637,0.2,1,Power Hitters
AJ Hosein,1,16.0,16.0,145.45454545454547,16.0,1.0,10.25,1.0,2,Finishers / All-Rounders
AJ Turner,2,24.0,4.8,77.41935483870968,4.0,0.0,0.0,0.0,2,Finishers / All-Rounders
AJ Tye,5,91.0,11.375,115.18987341772151,7.0,48.0,8.445378151260504,1.6,3,Finishers / All-Rounders
AK Markram,4,995.0,30.151515151515152,126.42947903430749,23.69047619047619,2.0,8.439024390243903,0.14285714285714285,2,Finishers / All-Rounders
AL Menaria,3,401.0,18.227272727272727,109.26430517711172,17.434782608695652,3.0,7.646017699115045,0.25,2,Finishers / All-Rounders
AM Nayar,7,672.0,17.23076923076923,114.28571428571429,13.44,9.0,8.10878661087866,0.47368421052631576,2,Finishers / All-Rounders
AM Rahane,15,4642.0,29.756410256410255,120.32141005702437,27.146198830409357,1.0,5.0,1.0,1,Power Hitters
AM Salvi,2,0.0,0.0,0.0,0.0,7.0,7.884615384615385,1.0,0,Finishers / All-Rounders
AN Ahmed,6,36.0,36.0,133.33333333333334,6.0,15.0,8.535911602209945,0.8823529411764706,2,Finishers / All-Rounders
AN Ghosh,1,7.0,3.5,87.5,3.5,0.0,0.0,0.0,2,Finishers / All-Rounders
AP Dole,1,34.0,17.0,147.82608695652175,17.0,5.0,9.36986301369863,1.6666666666666667,2,Finishers / All-Rounders
AP Majumdar,1,87.0,21.75,112.98701298701299,21.75,0.0,0.0,0.0,2,Finishers / All-Rounders
AP Tare,6,339.0,14.125,118.94736842105263,12.555555555555555,0.0,0.0,0.0,2,Finishers / All-Rounders
AR Bawne,1,12.0,12.0,100.0,12.0,0.0,0.0,0.0,2,Finishers / All-Rounders
AR Patel,10,1653.0,21.192307692307693,125.41729893778452,14.758928571428571,131.0,7.279187817258883,0.8851351351351351,3,Finishers / All-Rounders
AS Joseph,4,27.0,27.0,84.375,5.4,22.0,9.343612334801762,1.0,0,Finishers / All-Rounders
AS Rajpoot,6,26.0,6.5,63.41463414634146,3.7142857142857144,24.0,8.931216931216932,0.8275862068965517,0,Finishers / All-Rounders
AS Raut,3,194.0,17.636363636363637,112.79069767441861,12.125,0.0,9.0,0.0,2,Finishers / All-Rounders
AS Roy,4,26.0,8.666666666666666,108.33333333333333,4.333333333333333,6.0,8.070422535211268,0.6666666666666666,0,Finishers / All-Rounders
AS Yadav,1,49.0,7.0,122.5,8.166666666666666,0.0,0.0,0.0,2,Finishers / All-Rounders
AT Carey,1,32.0,16.0,110.34482758620689,10.666666666666666,0.0,0.0,0.0,2,Finishers / All-Rounders
AT Rayudu,13,4348.0,28.605263157894736,124.58452722063038,23.502702702702702,0.0,0.0,0.0,1,Power Hitters
AU Rashid,2,22.0,11.0,129.41176470588235,11.0,2.0,9.1,0.6666666666666666,2,Finishers / All-Rounders
AUK Pathan,2,39.0,7.8,150.0,5.571428571428571,0.0,9.219512195121952,0.0,2,Finishers / All-Rounders
